Date,Total Precip (mm)
2021/1/1,6.8
2021/1/2,10.8
2021/1/3,1.7
2021/1/4,0
2021/1/5,0.4
2021/1/6,0
2021/1/7,0
2021/1/8,0
2021/1/9,0
2021/1/10,0
2021/1/11,0
2021/1/12,0.3
2021/1/13,0
2021/1/14,0
2021/1/15,2.9
2021/1/16,0
2021/1/17,0.2
2021/1/18,0
2021/1/19,0
2021/1/20,0
2021/1/21,0.1
2021/1/22,0.3
2021/1/23,0
2021/1/24,0
2021/1/25,0
2021/1/26,8.7
2021/1/27,0
2021/1/28,0
2021/1/29,0
2021/1/30,0
2021/1/31,0
2021/2/1,0
2021/2/2,0
2021/2/3,0
2021/2/4,0.9
2021/2/5,2.3
2021/2/6,0
2021/2/7,0.8
2021/2/8,0.2
2021/2/9,0.3
2021/2/10,0
2021/2/11,0
2021/2/12,0.3
2021/2/13,1.6
2021/2/14,0
2021/2/15,5.4
2021/2/16,5.5
2021/2/17,0
2021/2/18,3.7
2021/2/19,2.4
2021/2/20,0
2021/2/21,0
2021/2/22,7.7
2021/2/23,0.5
2021/2/24,0
2021/2/25,0
2021/2/26,0
2021/2/27,6.5
2021/2/28,1.3
2021/3/1,0
2021/3/2,0
2021/3/3,0
2021/3/4,0
2021/3/5,0
2021/3/6,0
2021/3/7,0
2021/3/8,0
2021/3/9,0
2021/3/10,0
2021/3/11,2.1
2021/3/12,0
2021/3/13,0
2021/3/14,0
2021/3/15,0
2021/3/16,0
2021/3/17,0
2021/3/18,0.4
2021/3/19,0
2021/3/20,0
2021/3/21,0
2021/3/22,0
2021/3/23,0
2021/3/24,0.8
2021/3/25,1
2021/3/26,28.4
2021/3/27,0
2021/3/28,9.5
2021/3/29,0
2021/3/30,0
2021/3/31,0
2021/4/1,0
2021/4/2,0
2021/4/3,0.3
2021/4/4,0
2021/4/5,0
2021/4/6,0.1
2021/4/7,0
2021/4/8,0
2021/4/9,0.8
2021/4/10,0
2021/4/11,16.3
2021/4/12,7
2021/4/13,0
2021/4/14,0.4
2021/4/15,0.8
2021/4/16,0.4
2021/4/17,0
2021/4/18,0
2021/4/19,0.7
2021/4/20,1.2
2021/4/21,4
2021/4/22,0
2021/4/23,0
2021/4/24,0
2021/4/25,0.8
2021/4/26,1.4
2021/4/27,4.3
2021/4/28,7
2021/4/29,9
2021/4/30,0
2021/5/1,0
2021/5/2,0.1
2021/5/3,2.4
2021/5/4,1.5
2021/5/5,0
2021/5/6,0
2021/5/7,0.1
2021/5/8,0.5
2021/5/9,0
2021/5/10,0
2021/5/11,0
2021/5/12,0
2021/5/13,0
2021/5/14,0
2021/5/15,0
2021/5/16,0
2021/5/17,0
2021/5/18,0
2021/5/19,0
2021/5/20,0
2021/5/21,0
2021/5/22,0.2
2021/5/23,0
2021/5/24,0
2021/5/25,0
2021/5/26,2.4
2021/5/27,0
2021/5/28,13.5
2021/5/29,0
2021/5/30,0
2021/5/31,0
2021/6/1,0
2021/6/2,5.5
2021/6/3,3.3
2021/6/4,0
2021/6/5,0
2021/6/6,0
2021/6/7,0
2021/6/8,5
2021/6/9,0
2021/6/10,0
2021/6/11,0
2021/6/12,0
2021/6/13,4.3
2021/6/14,2.5
2021/6/15,0
2021/6/16,0
2021/6/17,0
2021/6/18,8.2
2021/6/19,3.2
2021/6/20,0
2021/6/21,5.4
2021/6/22,0
2021/6/23,0
2021/6/24,0
2021/6/25,12.7
2021/6/26,4.6
2021/6/27,0
2021/6/28,0
2021/6/29,25
2021/6/30,0.1
2021/7/1,0
2021/7/2,5.1
2021/7/3,0
2021/7/4,0
2021/7/5,0.1
2021/7/6,0
2021/7/7,5.6
2021/7/8,26.8
2021/7/9,1.3
2021/7/10,0
2021/7/11,0.9
2021/7/12,0
2021/7/13,6.3
2021/7/14,0
2021/7/15,9.2
2021/7/16,0
2021/7/17,4.3
2021/7/18,0
2021/7/19,0
2021/7/21,0
2021/7/22,0
2021/7/23,0
2021/7/24,21.1
2021/7/25,0
2021/7/26,0
2021/7/27,9
2021/7/28,0
2021/7/29,12.1
2021/7/30,0
2021/7/31,0.1
2021/8/1,0.3
2021/8/2,0
2021/8/3,0
2021/8/4,0
2021/8/5,0
2021/8/6,0
2021/8/7,1.1
2021/8/8,0
2021/8/9,0
2021/8/10,0.5
2021/8/11,0.6
2021/8/12,0.9
2021/8/13,0
2021/8/14,0
2021/8/15,0
2021/8/16,0
2021/8/17,0
2021/8/18,0.8
2021/8/19,0
2021/8/20,0
2021/8/21,0
2021/8/22,0
2021/8/23,0
2021/8/24,0
2021/8/25,0
2021/8/26,0.4
2021/8/27,0
2021/8/28,4.4
2021/8/29,2.6
2021/8/30,0
2021/8/31,0
2021/9/1,0
2021/9/2,0
2021/9/3,0
2021/9/4,2.9
2021/9/5,2.3
2021/9/6,3.5
2021/9/7,21.8
2021/9/8,19
2021/9/9,0.2
2021/9/10,0
2021/9/11,0
2021/9/12,2.3
2021/9/13,0
2021/9/14,16.9
2021/9/15,0
2021/9/16,0
2021/9/17,0
2021/9/18,0
2021/9/19,0
2021/9/20,0
2021/9/21,6.2
2021/9/22,49.9
2021/9/23,4.2
2021/9/24,0.4
2021/9/25,3.4
2021/9/26,3.3
2021/9/27,2.3
2021/9/28,0
2021/9/29,0
2021/9/30,0
2021/10/1,0
2021/10/2,0.1
2021/10/3,22.8
2021/10/4,4.2
2021/10/5,0
2021/10/6,0
2021/10/7,0
2021/10/8,0
2021/10/9,7.1
2021/10/10,8.4
2021/10/11,0
2021/10/12,0
2021/10/13,0
2021/10/14,1.4
2021/10/15,20.4
2021/10/16,1.8
2021/10/17,0.2
2021/10/18,0
2021/10/19,0
2021/10/20,0.8
2021/10/21,2.6
2021/10/22,0
2021/10/23,0
2021/10/24,1.8
2021/10/25,18.8
2021/10/26,6.7
2021/10/27,0
2021/10/28,0
2021/10/29,15.2
2021/10/30,18.6
2021/10/31,0
2021/11/2,0.1
2021/11/3,0
2021/11/4,0
2021/11/5,0
2021/11/6,0
2021/11/7,0
2021/11/8,0
2021/11/9,2.4
2021/11/10,0
2021/11/11,0.4
2021/11/12,3
2021/11/13,0
2021/11/14,9.4
2021/11/15,0.7
2021/11/17,0.9
2021/11/18,0.2
2021/11/19,0
2021/11/20,0.3
2021/11/21,3.4
2021/11/22,0
2021/11/23,0
2021/11/24,0.3
2021/11/25,9
2021/11/26,0
2021/11/27,0
2021/11/28,7.8
2021/11/29,1.3
2021/11/30,1.6
2021/12/1,0
2021/12/2,0.7
2021/12/3,0
2021/12/4,0
2021/12/5,14.7
2021/12/6,2.5
2021/12/7,0
2021/12/8,2
2021/12/9,1.6
2021/12/10,0
2021/12/11,16.4
2021/12/12,0.3
2021/12/13,0
2021/12/14,0
2021/12/15,1
2021/12/16,0
2021/12/17,0
2021/12/18,8.2
2021/12/19,0
2021/12/20,0
2021/12/21,0
2021/12/22,0.4
2021/12/23,4.1
2021/12/24,0.3
2021/12/25,4.8
2021/12/26,0
2021/12/27,1.9
2021/12/28,0.3
2021/12/29,0.1
2021/12/30,0
2021/12/31,0
2022/1/1,2.4
2022/1/2,2
2022/1/3,0
2022/1/4,0
2022/1/5,0.3
2022/1/6,0
2022/1/7,0
2022/1/8,0.5
2022/1/9,0.2
2022/1/10,0.1
2022/1/11,0
2022/1/12,0
2022/1/13,0
2022/1/14,0
2022/1/15,0
2022/1/16,3.1
2022/1/17,36.2
2022/1/18,0.8
2022/1/19,0
2022/1/20,0
2022/1/21,0.1
2022/1/22,0
2022/1/23,0.1
2022/1/24,4.7
2022/1/25,0
2022/1/26,0.1
2022/1/27,0
2022/1/28,0
2022/1/29,0
2022/1/30,0
2022/1/31,0
2022/2/1,0
2022/2/2,12.6
2022/2/3,3.5
2022/2/4,0.7
2022/2/5,0
2022/2/6,0
2022/2/7,0
2022/2/8,0
2022/2/9,0
2022/2/10,0
2022/2/11,3.5
2022/2/12,0.6
2022/2/13,0
2022/2/14,0
2022/2/15,0
2022/2/16,0.2
2022/2/17,35.8
2022/2/18,2.3
2022/2/19,1.5
2022/2/20,0
2022/2/21,0
2022/2/22,9.4
2022/2/23,0
2022/2/24,0
2022/2/25,4
2022/2/26,0
2022/2/27,0
2022/2/28,0
2022/3/1,0
2022/3/2,0.5
2022/3/3,0
2022/3/4,0
2022/3/5,0
2022/3/6,1.9
2022/3/7,5.4
2022/3/8,0
2022/3/9,0
2022/3/10,0
2022/3/11,4.1
2022/3/12,0.2
2022/3/13,0.4
2022/3/14,0
2022/3/15,10.8
2022/3/16,0
2022/3/17,0
2022/3/18,0.1
2022/3/19,6.3
2022/3/20,0.7
2022/3/21,0
2022/3/22,0
2022/3/23,19.5
2022/3/24,0
2022/3/25,0
2022/3/26,1.7
2022/3/27,1
2022/3/28,0
2022/3/29,0
2022/3/30,3
2022/3/31,0.3
2022/4/1,1.7
2022/4/2,0
2022/4/3,0
2022/4/4,0
2022/4/5,0.5
2022/4/6,5.5
2022/4/7,1.6
2022/4/8,1
2022/4/9,0
2022/4/10,0
2022/4/11,0.2
2022/4/12,0
2022/4/13,3.1
2022/4/14,0.1
2022/4/15,0.8
2022/4/16,0
2022/4/17,0
2022/4/18,13.6
2022/4/19,0.9
2022/4/20,0
2022/4/21,4.3
2022/4/22,0
2022/4/23,0.1
2022/4/24,0
2022/4/25,8.9
2022/4/26,2.5
2022/4/27,0
2022/4/28,0
2022/4/29,0
2022/4/30,0
2022/5/1,1.4
2022/5/2,0
2022/5/3,12.8
2022/5/4,4.3
2022/5/5,0
2022/5/6,0
2022/5/7,0
2022/5/8,0
2022/5/9,0
2022/5/10,0
2022/5/11,0
2022/5/12,0
2022/5/13,0
2022/5/14,0
2022/5/15,0
2022/5/16,3.5
2022/5/17,0
2022/5/18,0
2022/5/19,1.3
2022/5/20,0
2022/5/21,1.5
2022/5/22,0.1
2022/5/23,0
2022/5/24,0
2022/5/25,0
2022/5/26,0.2
2022/5/27,3.2
2022/5/28,0.3
2022/5/29,0
2022/5/30,0
2022/5/31,0
2022/6/1,4
2022/6/2,0
2022/6/3,0
2022/6/4,0
2022/6/5,0.2
2022/6/6,7.5
2022/6/7,31.7
2022/6/8,2.2
2022/6/9,5.6
2022/6/10,0
2022/6/11,0
2022/6/12,2.1
2022/6/13,0
2022/6/14,0
2022/6/15,0.2
2022/6/16,0
2022/6/17,0
2022/6/18,0
2022/6/19,0
2022/6/20,0
2022/6/21,0
2022/6/22,0
2022/6/23,0
2022/6/24,0
2022/6/25,0
2022/6/26,4.6
2022/6/27,0
2022/6/28,0
2022/6/29,2.8
2022/6/30,0
2022/7/1,0.3
2022/7/2,0
2022/7/3,0
2022/7/4,0
2022/7/5,5.4
2022/7/6,0
2022/7/7,0
2022/7/8,0
2022/7/9,0
2022/7/10,0
2022/7/11,0.9
2022/7/12,1.8
2022/7/13,0.3
2022/7/14,0
2022/7/15,0
2022/7/16,0
2022/7/17,0
2022/7/18,27.3
2022/7/19,0
2022/7/20,0
2022/7/21,0
2022/7/22,0
2022/7/23,0
2022/7/24,22
2022/7/25,0
2022/7/26,0
2022/7/27,0
2022/7/28,0.8
2022/7/29,0
2022/7/30,0
2022/7/31,0
2022/8/1,0.6
2022/8/2,0
2022/8/3,0.4
2022/8/4,16.1
2022/8/5,0
2022/8/6,0
2022/8/7,0
2022/8/8,1.2
2022/8/9,0
2022/8/10,0
2022/8/11,0
2022/8/12,0
2022/8/13,0
2022/8/14,0
2022/8/15,0
2022/8/16,0
2022/8/17,0
2022/8/18,0
2022/8/19,0.4
2022/8/20,0.8
2022/8/21,10.4
2022/8/22,28.7
2022/8/23,0
2022/8/24,0
2022/8/25,2.7
2022/8/26,0
2022/8/27,0
2022/8/28,0
2022/8/29,0
2022/8/30,3.2
2022/8/31,0
2022/9/1,0
2022/9/2,0
2022/9/3,0.2
2022/9/4,0.1
2022/9/5,0
2022/9/6,0
2022/9/7,0
2022/9/8,0
2022/9/9,0
2022/9/10,0
2022/9/11,0
2022/9/12,5.3
2022/9/13,0.4
2022/9/14,0
2022/9/15,0
2022/9/16,0
2022/9/17,0
2022/9/18,3.5
2022/9/19,4.2
2022/9/20,0
2022/9/21,0
2022/9/22,0
2022/9/23,0
2022/9/24,0
2022/9/25,39.2
2022/9/26,3.9
2022/9/27,4
2022/9/28,0
2022/9/29,0
2022/9/30,0
2022/10/1,0
2022/10/2,0
2022/10/3,0
2022/10/4,0
2022/10/5,0
2022/10/6,0.2
2022/10/7,0.3
2022/10/8,0
2022/10/9,0
2022/10/10,0
2022/10/11,0
2022/10/12,3.4
2022/10/13,11
2022/10/14,0.5
2022/10/15,1.5
2022/10/16,0
2022/10/17,0.6
2022/10/18,2
2022/10/19,1
2022/10/20,0
2022/10/21,0
2022/10/22,0
2022/10/23,0
2022/10/24,0
2022/10/25,0
2022/10/26,7.9
2022/10/28,0
2022/10/29,0
2022/10/30,0
2022/10/31,3.6
2022/11/1,4.9
2022/11/2,0
2022/11/3,0
2022/11/4,0
2022/11/5,2.2
2022/11/6,0
2022/11/7,0
2022/11/8,0
2022/11/9,0
2022/11/10,0
2022/11/11,8.3
2022/11/12,0.6
2022/11/13,0
2022/11/14,0
2022/11/15,17.6
2022/11/16,9.1
2022/11/17,0.1
2022/11/18,0
2022/11/19,0.1
2022/11/20,0.2
2022/11/21,0
2022/11/22,0
2022/11/23,0
2022/11/24,0
2022/11/25,0.9
2022/11/26,0
2022/11/27,3.8
2022/11/28,0
2022/11/29,0
2022/11/30,22.2
2022/12/1,0
2022/12/2,3
2022/12/3,5.4
2022/12/4,0
2022/12/5,0
2022/12/6,0
2022/12/7,0
2022/12/8,0
2022/12/9,0.1
2022/12/10,0
2022/12/11,4.4
2022/12/12,0
2022/12/13,0
2022/12/14,0
2022/12/15,39.8
2022/12/16,9.1
2022/12/17,0
2022/12/18,0
2022/12/19,0
2022/12/20,0
2022/12/21,0
2022/12/22,13.4
2022/12/23,20.6
2022/12/24,0
2022/12/25,0
2022/12/26,0
2022/12/27,0
2022/12/28,0
2022/12/29,0
2022/12/30,9.6
2022/12/31,22.5
2023/1/1,1.5
2023/1/2,0
2023/1/3,3.3
2023/1/4,21.1
2023/1/5,0.2
2023/1/6,0
2023/1/7,0
2023/1/8,0
2023/1/9,0.1
2023/1/10,0
2023/1/11,0.1
2023/1/12,6
2023/1/13,2.5
2023/1/14,0
2023/1/15,0
2023/1/16,0.1
2023/1/17,4
2023/1/18,1.3
2023/1/19,4.8
2023/1/20,1.7
2023/1/21,0
2023/1/22,2.8
2023/1/23,0
2023/1/24,0
2023/1/25,19.2
2023/1/26,1.9
2023/1/27,0.1
2023/1/28,0.2
2023/1/29,4.9
2023/1/30,0
2023/1/31,0
2023/2/1,0
2023/2/2,0
2023/2/3,0
2023/2/4,0.4
2023/2/5,0
2023/2/6,0
2023/2/7,0
2023/2/8,0
2023/2/9,28.1
2023/2/10,0
2023/2/11,0
2023/2/12,0
2023/2/13,0
2023/2/14,0
2023/2/15,0.2
2023/2/16,4.7
2023/2/17,5.7
2023/2/18,0
2023/2/19,0
2023/2/20,0
2023/2/21,0.2
2023/2/22,17.7
2023/2/23,1
2023/2/24,0
2023/2/25,0.9
2023/2/26,0
2023/2/27,7.2
2023/2/28,2.8
2023/3/1,0
2023/3/2,0
2023/3/3,21.7
2023/3/4,11.1
2023/3/5,0.4
2023/3/6,0
2023/3/7,0
2023/3/8,0
2023/3/9,0
2023/3/10,9
2023/3/11,0.3
2023/3/12,2.5
2023/3/13,0.5
2023/3/14,0
2023/3/15,0
2023/3/16,1.8
2023/3/17,6.5
2023/3/18,0.4
2023/3/19,0
2023/3/20,0
2023/3/21,0
2023/3/22,0
2023/3/23,9.5
2023/3/24,0
2023/3/25,23.8
2023/3/26,0
2023/3/27,1
2023/3/28,0
2023/3/29,2.1
2023/3/30,0
2023/3/31,10
2023/4/1,16.9
2023/4/2,0
2023/4/3,0
2023/4/4,1.5
2023/4/5,26
2023/4/6,0
2023/4/7,0
2023/4/8,0
2023/4/9,0
2023/4/10,0
2023/4/11,0
2023/4/12,0
2023/4/13,0
2023/4/14,0
2023/4/15,0
2023/4/16,6
2023/4/17,0.6
2023/4/18,0
2023/4/19,0
2023/4/20,0.7
2023/4/21,2.2
2023/4/22,16.9
2023/4/23,0
2023/4/24,2.2
2023/4/25,0
2023/4/26,0
2023/4/27,0
2023/4/28,13.5
2023/4/29,6.8
2023/4/30,12.2
2023/5/1,1.3
2023/5/2,5.8
2023/5/3,5.1
2023/5/4,0
2023/5/5,0.1
2023/5/6,0
2023/5/7,11.1
2023/5/8,0
2023/5/9,0
2023/5/10,0
2023/5/11,0
2023/5/12,0
2023/5/13,0
2023/5/14,0
2023/5/15,0
2023/5/16,0
2023/5/17,0
2023/5/18,0
2023/5/19,9
2023/5/20,15.5
2023/5/21,0
2023/5/22,0
2023/5/23,0
2023/5/24,0
2023/5/25,0
2023/5/26,0
2023/5/27,0
2023/5/28,0
2023/5/29,0
2023/5/30,0
2023/5/31,0
2023/6/1,0
2023/6/2,9.4
2023/6/3,0
2023/6/4,0
2023/6/5,0
2023/6/6,0
2023/6/7,0
2023/6/8,0
2023/6/9,2.4
2023/6/10,0
2023/6/11,7
2023/6/12,50.1
2023/6/13,3.3
2023/6/14,1.3
2023/6/15,2.7
2023/6/16,0
2023/6/17,0
